generation,best_fitness,avg_fitness,avg_catches,avg_escaped,avg_completion_time,perfect_clears,avg_catch_speed
0,1504.921695351255,380.90144013707794,11.25,38.75,283.0833333333333,0,5.756361313401702
1,1383.6696564833308,580.6142366492994,13.645833333333334,36.354166666666664,286.1875,0,6.444864912232628
2,2466.646831023048,977.8764529784003,16.8125,33.1875,276.3333333333333,0,7.793548802211126
3,2661.8529035474407,1455.8778195702423,20.5,29.5,278.5625,0,9.665153371820693
4,3100.755620716565,1748.1374550816745,22.875,27.125,283.5208333333333,0,10.63573695124276
5,3044.986320886971,2227.8035998522096,26.625,23.375,277.5,0,11.801653923290088
6,3228.239109180817,2275.467735197082,26.979166666666668,23.020833333333332,274.25,0,12.435787743273034
7,3288.635883814086,2582.2451457048583,29.416666666666668,20.583333333333332,271.25,0,13.495307285419855
8,3353.825815274973,2494.837634922067,28.6875,21.3125,271.9166666666667,0,13.541645415786803
9,3240.5171187464557,2580.2014374428422,29.354166666666668,20.645833333333332,266.4583333333333,0,14.083908636489227
10,3493.4654505888375,2768.4172018193435,30.833333333333332,19.166666666666668,262.5416666666667,0,14.269296867147888
11,3555.5444329262195,2766.6267213218575,30.833333333333332,19.166666666666668,265.2708333333333,0,14.55147070328289
12,3366.9819429261447,2809.116300063351,31.125,18.875,264.375,0,14.28435533696254
13,3489.90980909268,2848.6702559466357,31.4375,18.5625,266.6458333333333,0,14.344413691218215
14,3801.302598814229,2975.219536395267,32.4375,17.5625,263.7083333333333,0,14.773785387556366
15,3628.5920922748383,2936.695291402615,32.166666666666664,17.833333333333332,266.9375,0,14.254418441566711
16,3739.7278179238974,2986.599280269471,32.5625,17.4375,270.4583333333333,0,14.159211018762157
17,3557.295103971167,2869.927061473909,31.645833333333332,18.354166666666668,271.9166666666667,0,13.986660302369073
18,3659.1833711136505,2804.1012961376023,31.1875,18.8125,263.9583333333333,0,13.882790169881565
19,3933.3345256310345,2979.5000047434005,32.541666666666664,17.458333333333332,252.47916666666666,0,14.356297712926754
20,3994.468743653335,3084.938175770838,33.375,16.625,252.77083333333334,0,15.084740193815641
21,3931.8982498028645,2948.354048342235,32.333333333333336,17.666666666666668,249.9375,0,14.789793562121146
22,3803.1719664722905,3030.991452857952,32.958333333333336,17.041666666666668,255.16666666666666,0,14.81710194247128
23,4248.29271178112,3051.5615896075346,33.083333333333336,16.916666666666668,255.04166666666666,0,14.48969173241669
24,4000.8830233122853,2936.712382227363,32.145833333333336,17.854166666666668,261.4375,0,14.657179592545566
25,4124.251972721131,2933.644668998803,32.125,17.875,266.0208333333333,0,14.676853967725977
26,3879.7874825888553,3282.1134459324107,34.875,15.125,259.4791666666667,0,15.636622881454729
27,3936.5894262428933,3303.5273199679445,35.020833333333336,14.979166666666666,250.72916666666666,0,15.872708042058733
28,3993.3675866311187,3311.723636634452,35.083333333333336,14.916666666666666,255.33333333333334,0,15.71576762440728
29,4067.521894188546,3410.4674887028455,35.875,14.125,255.97916666666666,0,16.187798524109592
30,4178.171639579851,3254.2685681307557,34.625,15.375,252.3125,0,16.018533308233145
31,3877.6736718923485,3322.0926978336465,35.166666666666664,14.833333333333334,256.1666666666667,0,16.301217324332875
32,4059.81174744413,3378.970251610241,35.604166666666664,14.395833333333334,251.6875,0,16.601988985339297
33,4310.8071927875135,3418.72195995843,35.958333333333336,14.041666666666666,253.625,0,16.450428633859325
34,4251.775346910655,3517.226495595473,36.75,13.25,253.66666666666666,0,16.516087028897882
35,4124.776490772314,3553.836848522618,37.020833333333336,12.979166666666666,250.8125,0,16.810935074532647
36,4185.156596718644,3612.9525813191926,37.5,12.5,253.125,0,17.057074645661086
37,4376.937737034275,3856.4681680329572,39.416666666666664,10.583333333333334,244.6875,0,17.485410661100172
38,4324.628077013208,3636.5787893567867,37.6875,12.3125,251.77083333333334,0,16.970085086944476
39,4314.652399457699,3774.0977756288253,38.770833333333336,11.229166666666666,251.125,0,17.24975210900551
