generation,best_fitness,avg_fitness,avg_catches,avg_escaped,avg_completion_time,perfect_clears,avg_catch_speed
0,1336.8177259798435,367.87867963220407,11.1875,38.8125,283.3333333333333,0,6.375025152333927
1,1794.8530193236716,880.9954002879975,15.666666666666666,34.333333333333336,284.4791666666667,0,8.043755821059491
2,1777.4409520010636,980.1675951283236,16.604166666666668,33.395833333333336,282.3125,0,8.8299831282769
3,1965.197873754379,1140.6725818099692,17.791666666666668,32.208333333333336,286.0208333333333,0,8.84960982633997
4,1970.868774552434,1307.8858501424193,19.333333333333332,30.666666666666668,285.8958333333333,0,9.104484522201917
